           T(s)              1              2              3              4              5              6              7
      18600.000  0.4610845E-01  0.4155638E-01  0.1260449E-01  0.7961091E-01  0.3078946E-01  0.1712499E-01  0.3532869E-01
      18900.000  0.5398746E-01  0.4578685E-01  0.1573753E-01  0.8858684E-01  0.3377305E-01  0.1877784E-01  0.3986407E-01
      19200.000  0.6302785E-01  0.5037889E-01  0.1949112E-01  0.9838614E-01  0.3696370E-01  0.2055765E-01  0.4485781E-01
      19500.000  0.7331960E-01  0.5525212E-01  0.2395535E-01  0.1089272E+00  0.4027216E-01  0.2241754E-01  0.5028289E-01
      19800.000  0.8494775E-01  0.6033617E-01  0.2922138E-01  0.1201040E+00  0.4364166E-01  0.2432461E-01  0.5610670E-01
      20100.000  0.9799153E-01  0.6557144E-01  0.3537811E-01  0.1318007E+00  0.4703794E-01  0.2625677E-01  0.6229230E-01
      20400.000  0.1125237E+00  0.7090927E-01  0.4250883E-01  0.1439017E+00  0.5044154E-01  0.2819990E-01  0.6879986E-01
      20700.000  0.1286100E+00  0.7631140E-01  0.5068806E-01  0.1563005E+00  0.5384224E-01  0.3014549E-01  0.7558819E-01
      21000.000  0.1463086E+00  0.8174887E-01  0.5997880E-01  0.1689036E+00  0.5723532E-01  0.3208879E-01  0.8261606E-01
      21300.000  0.1656696E+00  0.8720064E-01  0.7043030E-01  0.1816337E+00  0.6061905E-01  0.3402741E-01  0.8984347E-01
      21600.000  0.1867339E+00  0.9265212E-01  0.8207653E-01  0.1944291E+00  0.6399329E-01  0.3596040E-01  0.9723260E-01
      21900.000  0.2101129E+00  0.9896209E-01  0.9499909E-01  0.2083044E+00  0.6832302E-01  0.3836796E-01  0.1052785E+00
      22200.000  0.2365613E+00  0.1066904E+00  0.1093968E+00  0.2244331E+00  0.7392294E-01  0.4145138E-01  0.1144391E+00
      22500.000  0.2662838E+00  0.1154404E+00  0.1254714E+00  0.2427079E+00  0.8015622E-01  0.4491379E-01  0.1246061E+00
      22800.000  0.2994493E+00  0.1249101E+00  0.1434153E+00  0.2628317E+00  0.8668957E-01  0.4858037E-01  0.1356696E+00
      23100.000  0.3361927E+00  0.1348706E+00  0.1633971E+00  0.2844433E+00  0.9335288E-01  0.5234996E-01  0.1475192E+00
      23400.000  0.3766149E+00  0.1451515E+00  0.1855511E+00  0.3071856E+00  0.1000632E+00  0.5616616E-01  0.1600455E+00
      23700.000  0.4207832E+00  0.1556300E+00  0.2099717E+00  0.3307415E+00  0.1067827E+00  0.5999903E-01  0.1731432E+00
      24000.000  0.4687304E+00  0.1662203E+00  0.2367102E+00  0.3548490E+00  0.1134955E+00  0.6383365E-01  0.1867125E+00
      24300.000  0.5204549E+00  0.1768648E+00  0.2657740E+00  0.3793032E+00  0.1201960E+00  0.6766328E-01  0.2006616E+00
      24600.000  0.5759198E+00  0.1875265E+00  0.2971287E+00  0.4039516E+00  0.1268832E+00  0.7148535E-01  0.2149080E+00
      24900.000  0.6350530E+00  0.1981829E+00  0.3307017E+00  0.4286858E+00  0.1335578E+00  0.7529931E-01  0.2293791E+00
      25200.000  0.6977476E+00  0.2088212E+00  0.3663865E+00  0.4534327E+00  0.1402209E+00  0.7910550E-01  0.2440127E+00
      25500.000  0.7624077E+00  0.2177223E+00  0.4038499E+00  0.4759220E+00  0.1450548E+00  0.8198771E-01  0.2576431E+00
      25800.000  0.8271294E+00  0.2240639E+00  0.4423029E+00  0.4938923E+00  0.1478601E+00  0.8375210E-01  0.2693376E+00
      26100.000  0.8914523E+00  0.2288557E+00  0.4809845E+00  0.5080944E+00  0.1499190E+00  0.8503504E-01  0.2794116E+00
      26400.000  0.9549998E+00  0.2327238E+00  0.5192579E+00  0.5195199E+00  0.1517073E+00  0.8611382E-01  0.2881499E+00
      26700.000  0.1017448E+01  0.2360469E+00  0.5566330E+00  0.5290213E+00  0.1533984E+00  0.8710678E-01  0.2958002E+00
      27000.000  0.1078516E+01  0.2390506E+00  0.5927814E+00  0.5384036E+00  0.1550548E+00  0.8806384E-01  0.3025727E+00
      27300.000  0.1138000E+01  0.2418680E+00  0.6280268E+00  0.5566523E+00  0.1566987E+00  0.8900595E-01  0.3086418E+00
      27600.000  0.1195916E+01  0.2445772E+00  0.6636727E+00  0.5898775E+00  0.1583382E+00  0.8994182E-01  0.3141508E+00
      27900.000  0.1252596E+01  0.2472236E+00  0.7014576E+00  0.6405175E+00  0.1599761E+00  0.9087509E-01  0.3192159E+00
      28200.000  0.1308694E+01  0.2498337E+00  0.7432671E+00  0.7095869E+00  0.1616133E+00  0.9180725E-01  0.3239306E+00
      28500.000  0.1365152E+01  0.2524227E+00  0.7910047E+00  0.7973127E+00  0.1632502E+00  0.9273892E-01  0.3283694E+00
      28800.000  0.1423156E+01  0.2549996E+00  0.8465185E+00  0.9033671E+00  0.1648870E+00  0.9367036E-01  0.3325918E+00
      29100.000  0.1483730E+01  0.2572681E+00  0.9107617E+00  0.1009766E+01  0.1662093E+00  0.9444259E-01  0.3364402E+00
      29400.000  0.1547600E+01  0.2591060E+00  0.9818184E+00  0.1103562E+01  0.1671984E+00  0.9503052E-01  0.3398050E+00
      29700.000  0.1615286E+01  0.2606993E+00  0.1057844E+01  0.1190686E+01  0.1680738E+00  0.9554441E-01  0.3427939E+00
      30000.000  0.1686971E+01  0.2621541E+00  0.1137694E+01  0.1275087E+01  0.1689104E+00  0.9602864E-01  0.3454914E+00
      30300.000  0.1762645E+01  0.2635306E+00  0.1220724E+01  0.1359182E+01  0.1697339E+00  0.9650104E-01  0.3479633E+00
      30600.000  0.1842220E+01  0.2648629E+00  0.1306733E+01  0.1444349E+01  0.1705529E+00  0.9696871E-01  0.3502610E+00
      30900.000  0.1925600E+01  0.2661703E+00  0.1395671E+01  0.1531295E+01  0.1713704E+00  0.9743449E-01  0.3524243E+00
      31200.000  0.2012696E+01  0.2674637E+00  0.1487533E+01  0.1620299E+01  0.1721874E+00  0.9789952E-01  0.3544840E+00
      31500.000  0.2103427E+01  0.2687491E+00  0.1582320E+01  0.1711364E+01  0.1730042E+00  0.9836426E-01  0.3564641E+00
      31800.000  0.2197720E+01  0.2700302E+00  0.1680009E+01  0.1804308E+01  0.1738209E+00  0.9882886E-01  0.3583828E+00
      32100.000  0.2295498E+01  0.2713087E+00  0.1780529E+01  0.1898807E+01  0.1746376E+00  0.9929342E-01  0.3602544E+00
      32400.000  0.2396671E+01  0.2725858E+00  0.1883749E+01  0.1994438E+01  0.1754543E+00  0.9975795E-01  0.3620898E+00
      32700.000  0.2500563E+01  0.2735546E+00  0.1986849E+01  0.2059302E+01  0.1759516E+00  0.1000607E+00  0.3636870E+00
      33000.000  0.2605108E+01  0.2740933E+00  0.2081653E+01  0.2083695E+01  0.1761163E+00  0.1001790E+00  0.3649054E+00
      33300.000  0.2707464E+01  0.2743925E+00  0.2164009E+01  0.2088058E+01  0.1761708E+00  0.1002252E+00  0.3658342E+00
      33600.000  0.2804810E+01  0.2745586E+00  0.2232909E+01  0.2082004E+01  0.1761888E+00  0.1002432E+00  0.3665418E+00
      33900.000  0.2894872E+01  0.2746508E+00  0.2288807E+01  0.2069940E+01  0.1761948E+00  0.1002502E+00  0.3670807E+00
      34200.000  0.2976082E+01  0.2747019E+00  0.2332758E+01  0.2053887E+01  0.1761968E+00  0.1002530E+00  0.3674910E+00
      34500.000  0.3047540E+01  0.2747303E+00  0.2366007E+01  0.2034802E+01  0.1761974E+00  0.1002540E+00  0.3678032E+00
      34800.000  0.3108903E+01  0.2747460E+00  0.2389799E+01  0.2013192E+01  0.1761976E+00  0.1002544E+00  0.3680408E+00
      35100.000  0.3160257E+01  0.2747548E+00  0.2405295E+01  0.1989376E+01  0.1761977E+00  0.1002546E+00  0.3682216E+00
      35400.000  0.3201989E+01  0.2747596E+00  0.2413550E+01  0.1963609E+01  0.1761977E+00  0.1002547E+00  0.3683591E+00
      35700.000  0.3234683E+01  0.2747623E+00  0.2415501E+01  0.1936127E+01  0.1761977E+00  0.1002547E+00  0.3684637E+00
      36000.000  0.3259039E+01  0.2747638E+00  0.2411984E+01  0.1907164E+01  0.1761977E+00  0.1002547E+00  0.3685433E+00
      36300.000  0.3275813E+01  0.2747646E+00  0.2403740E+01  0.1876953E+01  0.1761977E+00  0.1002547E+00  0.3686038E+00
