           T(s)              1              2              3              4              5              6              7
      19800.000  0.1447714E-01  0.1511899E-01  0.1458442E+00  0.1897739E-01  0.1352977E-01  0.1194905E-01  0.1301768E-01
      20100.000  0.1577252E-01  0.1589281E-01  0.1635697E+00  0.2006542E-01  0.1415188E-01  0.1250967E-01  0.1386056E-01
      20400.000  0.1713682E-01  0.1665672E-01  0.1826178E+00  0.2115109E-01  0.1475754E-01  0.1305706E-01  0.1471188E-01
      20700.000  0.1856712E-01  0.1740673E-01  0.2029515E+00  0.2222618E-01  0.1534656E-01  0.1359022E-01  0.1556623E-01
      21000.000  0.2006031E-01  0.1814048E-01  0.2245127E+00  0.2328454E-01  0.1591960E-01  0.1410917E-01  0.1641895E-01
      21300.000  0.2161311E-01  0.1885680E-01  0.2472244E+00  0.2432193E-01  0.1647769E-01  0.1461449E-01  0.1726610E-01
      21600.000  0.2322211E-01  0.1955537E-01  0.2709945E+00  0.2533571E-01  0.1702193E-01  0.1510700E-01  0.1810445E-01
      21900.000  0.2492529E-01  0.2034442E-01  0.2958392E+00  0.2640588E-01  0.1770466E-01  0.1570659E-01  0.1898919E-01
      22200.000  0.2676301E-01  0.2128357E-01  0.3219756E+00  0.2761455E-01  0.1856181E-01  0.1645242E-01  0.1996410E-01
      22500.000  0.2873261E-01  0.2231441E-01  0.3495778E+00  0.2894265E-01  0.1948562E-01  0.1726371E-01  0.2101016E-01
      22800.000  0.3082911E-01  0.2339528E-01  0.3787664E+00  0.3035952E-01  0.2042344E-01  0.1809590E-01  0.2211030E-01
      23100.000  0.3304596E-01  0.2449725E-01  0.4095980E+00  0.3183350E-01  0.2135115E-01  0.1892561E-01  0.2324944E-01
      23400.000  0.3537543E-01  0.2560100E-01  0.4420653E+00  0.3333689E-01  0.2225899E-01  0.1974154E-01  0.2441447E-01
      23700.000  0.3780906E-01  0.2669418E-01  0.4761039E+00  0.3484777E-01  0.2314396E-01  0.2053899E-01  0.2559422E-01
